ReferenceNumber,WatchName,Gender,Location,Price,Currency,BrandName,Condition,ScopeOfDelivery,WatchLink,WatchImage,WebsiteName,WatchModel,Year,Movement,PowerReserve,NumberOfJewels,CaseDiameter,CaseMaterial,WaterResistanceAtm,BezelMaterial,Glass,DialColor,BraceletMaterial,BraceletColor,Buckle,BuckleMaterial,Functions,Description,Other
116610LN,Rolex Submariner Date 116610LN,U,United States of America,9.25,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/submariner-116610ln-date-black-dial-ceramic--id12803391.htm,https://cdn2.chrono24.com/images/uhren/images_91/s3/12803391_xxl_v1572578856103.jpg,Chrono24,submariner date,"
",Automatic,48,31,40,Steel,30,Ceramic,Sapphire Glass,Black,Steel,Steel,,,,,
116613LB,Rolex Submariner Date 116613LB,U,United States of America,12.75,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/submariner-date-116613lb-2018--id12725937.htm,https://cdn2.chrono24.com/images/uhren/images_37/s9/12725937_xxl_v1571860531930.jpg,Chrono24,submariner date,"
",Automatic,50,31,40,Gold/Steel,30,Ceramic,Sapphire Glass,Blue,Gold/Steel,Gold/Steel,,,,,
126710 BLRO,Rolex GMT-Master II 126710 BLRO,U,United States of America,18.999,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/gmt-master-ii-pepsi-126710-blro-jubilee-ceramic-bezel-unworn--id10253417.htm,https://cdn2.chrono24.com/images/uhren/images_17/s4/10253417_xxl.jpg?v=1549297706272,Chrono24,gmt.master ii,"
",Automatic,,31,40,Steel,,,Sapphire Glass,Black,Steel,Steel,,,,"ROLEX

GMT-MASTER II PEPSI

2018 MODEL

REF#126710 BLRO

You are Looking at This Luxurious Brand New ROLEX GMT MASTER II PEPSI 126710 BLRO BLUE/RED

100% guaranteed authentic!

The watch is brand new never worn and with all the stickers as you can see from the detailed pictures!!

Includes Everything: The Original Boxes, Booklets and Rolex Card (Papers)

Rolex 31 Jewel Chronometer self-winding Movement

Stainless Steel Case

Case Diameter: 40mm

Rolex Stainless Steel Bidirectional Rotating Bezel With a Special Pepsi 24-hour Blue and Red Ceramic Bezel

Rolex Black Dial

luminescent hour markers and hands

Date calendar at 3 o'clock aperture

Red second hand- independently adjustable 12-hour hand allows for simultaneous operation of a second time zone (GMT function)

Rolex Stainless Steel Jubilee Band with Deployment Buckle

Rolex logo on a crown

Scratch Resistant Sapphire Crystal

This Classic Collector’s Time Piece ROLEX GMT-MASTER ii PEPSI would be an asset to every watch collection!!

Don’t miss out on this opportunity especially at this price

Makes a beautiful gift for any watch collector or for birthday present!!",
6694,Rolex Oyster Precision 6694,U,United States of America,2.144,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/vintage-rolex-oysterdate-precision-6694-black-stainless-rivet-34mm-date-watch--id12631570.htm,https://cdn2.chrono24.com/images/uhren/images_70/s5/12631570_xxl_v1570806977984.jpg,Chrono24,oyster precision,"
",Manual winding,,,34,Steel,,Steel,Plexiglass,Black,Steel,Silver,,,,,
116400GV,Rolex Milgauss 116400GV,U,United States of America,8.175,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/milgauss--id12876584.htm,https://cdn2.chrono24.com/images/uhren/images_84/s5/12876584_xxl_v1573176892538.jpg,Chrono24,milgauss,"
",Automatic,48,31,40,Steel,10,Steel,Sapphire Glass,Blue,Steel,Steel,,,,"NASHVILLE WATCH, LLC - 615-969-5066











Manufacture: Rolex



Model: Milgauss



Reference: 116400GV



Case Size: 40mm



Case Material: Stainless Steel



Bracelet Material:  Stainless Steel



Crystal: Sapphire 



Movement: Automatic Calibre 3131



Dial:  Blue



Box: Yes



Papers: Yes



Age:  Warranty Card Dated - 09/2019











This Rolex Milgauss is in excellent condition. It is the blue dial version with green sapphire. It is complete with the boxes and papers and was just sold in September of 2019.



The case is in excellent condition.



The bracelet is in excellent condition with a few light swirls. It has all the links (12 plus easy link) and will fit around a 7.75"" wrist.



The bezel is in excellent condition.



The watch is functioning as it should and keeping great time; within COSC.",
69173,Rolex Lady-Datejust 69173,W,United States of America,3.795,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/ladies-rolex-two-tone-quickset-datejust-18k-yellow-gold--stainless-steel-watch--id12851370.htm,https://cdn2.chrono24.com/images/uhren/images_70/s3/12851370_xxl_v1572958294438.jpg,Chrono24,lady.datejust,"
",Automatic,,,26,Steel,,Yellow gold,Sapphire Glass,White,Gold/Steel,Gold/Steel,,,,,
6239,Rolex Daytona 6239,,United States of America,69.5,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/daytona-azuli-dial--id11828711.htm,https://cdn2.chrono24.com/images/uhren/images_11/s7/11828711gross_v1564698775437.jpg,Chrono24,daytona,"
",,,,37,Steel,,,Sapphire Glass,White,Steel,Steel,,,,"Vintage Daytona 6239 Azuli Dial 
  
One of the most desirable sports watches ever made, the 6239 ""Azuli"" dial Daytona has become a modern classic. This particular stunning, steel ""Azuli dial"" boasts all the design cues that embody the model’s popularity. The nickname ""Azuli"" refers to the rare phenomenon of the white ""Daytona"" letters on the dial, becoming blued. From the excellent case condition, to meticulous pushers, it carries one of the most desirable iconography of a reference available in many different variations. It’s in exemplary condition and appears to contain original parts, including the aforementioned pushers and acrylic crystal.",
116509,Rolex Daytona 116509,U,United States of America,31.95,USD,Rolex,Preowned,Box included and papers not included,https://www.chrono24.com/rolex//rolex/daytona-white-gold-blue-dial-mens-watch--id12348724.htm,https://cdn2.chrono24.com/images/uhren/images_24/s7/12348724_xxl_v1568047787254.jpg,Chrono24,daytona,"
",Automatic,72,44,40,White gold,10,White gold,Sapphire Glass,Blue,White gold,Gold,,,,,
16013,Rolex Datejust 16013,U,United States of America,5.299,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/mens-datejust-2-tone-18k-yellow-gold-diamond-sapphire-watch--rolex-band--id12944111.htm,https://cdn2.chrono24.com/images/uhren/images_11/s1/12944111_xxl_v1573790288755.jpg,Chrono24,datejust,"
",Automatic,,,36,Steel,,Yellow gold,Sapphire Glass,Black,Gold/Steel,Gold/Steel,,,,,
118238,Rolex Day-Date 36 118238,,United States of America,21.5,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/day-date-36mm--id11141653.htm,https://cdn2.chrono24.com/images/uhren/images_53/s6/11141653gross_v1557232891923.jpg,Chrono24,day.date 36,"
",,48,,36,Yellow gold,,,Sapphire Glass,Champagne,Yellow gold,Gold,,,,"Rolex 36mm Yellow Gold Day-Date 
  
Originally introduced in 1956, the Day-Date has become an enduring Rolex icon. The design characteristic of the President bracelet along with the champagne dial gives this stunning timepiece unmistakable presence on the wrist. The Cal. 3155 (which is entirely designed and manufactured by Rolex) boasts a 48 hour power reserve. This particular example is in mint like-new condition. This timepiece comes complete with a box and the original warranty from Rolex.",
116505,Rolex Daytona 116505,U,United States of America,35.7,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/daytona--id12875120.htm,https://cdn2.chrono24.com/images/uhren/images_20/s1/12875120_xxl_v1573157321547.jpg,Chrono24,daytona,"
",Automatic,72,44,40,Rose gold,10,Rose gold,Sapphire Glass,Brown,Rose gold,Gold,,,,,
126660,Rolex Sea-Dweller Deepsea 126660,U,United States of America,15.245,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/sea-dweller-deepsea-d-blue-james-cameron-new-126660--id12726561.htm,https://cdn2.chrono24.com/images/uhren/images_61/s5/12726561_xxl_v1571866030043.jpg,Chrono24,sea.dweller deepsea,"
",Automatic,70,31,44,Steel,120,Ceramic,Sapphire Glass,Blue,Steel,Steel,,,,"Brand New 2019 Rolex D Blue Dial Deepsea Seadweller 126660 [James Cameron]



Protective stickers removed by AD



100% Guaranteed Authentic with Box and Papers



Features:

D-Blue Dial

Ceramic Bezel

New Style Glidelock Clasp

Blue Lume



Notes:

Unworn Watch

Warranty Card from Rolex AD Dated September 2019

Factory Rolex Warranty Until September 2024



Included:

All Links

Green COSC Hangtag

Serial Number Hangtag

Bezel Protector

Rolex Inner and Outer Box

Instruction Booklet

Rolex Worldwide Service Manual

Rolex Original Warranty Card



Trades/sales of modern Rolex, Audemars Piguet, Patek Philippe, Omega and Tudor watches accepted from buyers with references.



Returns accepted if the item received is not as described. Returns must be initiated within 24 hours of receipt and returned in the exact same condition as received.



Chrono24 Trusted Seller and Premium Seller

100% Recommendation Rate

300+ Chrono24 Trusted Checkouts Completed!

250+ Average 5 Star Customer Reviews!

Many references available upon request",
126300-0003,Rolex Datejust 126300-0003,U,United States of America,7.525,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/126300-datejust-41-oyster-silver-stick-stainless-unworn--id12583435.htm,https://cdn2.chrono24.com/images/uhren/images_35/s4/12583435gross_v1570323772881.jpg,Chrono24,datejust,"
",Automatic,,,41,Steel,10,,Sapphire Glass,Silver,Steel,Steel,,,,,
1601,Rolex Datejust 1601,U,United States of America,3.499,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/mens-rolex-datejust-18k-white-gold--stainless-steel-silver-diamond-dial-watch--id12851207.htm,https://cdn2.chrono24.com/images/uhren/images_07/s2/12851207_xxl_v1572956209327.jpg,Chrono24,datejust,"
",Automatic,,26,36,Steel,,White gold,Plexiglass,Silver,Steel,Steel,,,,,
16700,Rolex GMT-Master 16700,U,United States of America,10.999,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/gmt-master-pepsi-coke-vintage-swiss-only-dial-16700--id12875197.htm,https://cdn2.chrono24.com/images/uhren/images_97/s1/12875197_xxl_v1573158223021.jpg,Chrono24,gmt.master,"
",Automatic,48,31,40,Steel,10,Steel,Sapphire Glass,Black,Steel,Steel,,,,,
6085,Rolex Bubble Back 6085,U,United States of America,7,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/oyster-perpetual-bubble-back-waffle-yellow-gold-ref-6085--id12669964.htm,https://cdn2.chrono24.com/images/uhren/images_64/s9/12669964_xxl_v1571252579212.jpg,Chrono24,bubble back,"
",Automatic,,17,34,Yellow gold,,Yellow gold,Plexiglass,Champagne,Leather,Brown,,,,"FAIR CONDITION. WAFFLE DIAL

NO BOX, NO PAPERS",
126200,Rolex Datejust 126200,U,United States of America,7.795,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/rolex-datejust-36mm-white-roman-dial--diamond-bezel-oyster--id12452148.htm,https://cdn2.chrono24.com/images/uhren/images_48/s1/12452148_xxl_v1569774825282.jpg,Chrono24,datejust,"
",Automatic,70,,36,Steel,10,Steel,Sapphire Glass,White,Steel,Steel,,,,"Rolex Datejust 36mm White Roman Dial & Diamond Bezel on Oyster Bracelet 126200 Unworn



    Brand



    Rolex



    Series



    Datejust 36



    Model



    126200



    Gender



    Unisex



    Movement



    Automatic



    Engine



    Rolex Calibre 3235



    Power Reserve



    70 hours



    Case Size



    36 mm



    Case Material



    Stainless Steel



    Case Shape



    Round



    Case Back



    Solid



    Dial Type



    Analog



    Dial Color



    White Roman



    Crystal



    Sapphire



    Hands



    Luminous



    Dial Markers



    Roman



    Luminiscence



    Hands



    Bezel



    Custom Diamond Bezel



    Band Type



    Bracelet



    Band Material



    Stainless Steel Rolex Oyster



    Band Color



    Silver Tone



    Clasp



    Deployment



    Water Resistance



    100 meters / 330 feet



    Calendar



    Date displays at the 3 o'clock position



    Functions



    Date, Hour, Minute, Second, Chronometer



    Features



    Calendar, Chronometer, Stainless Steel







All watches are subject to availability as we have multiple sales outlets and do our best to keep online inventory updated.  



INFO: 



We only use actual pictures of the watches we have on hand. What you see in the pictures is exactly what you will receive. We believe in being up front with our clients leaving no surprises to what they are getting. Everything we sell is 100% Authentic and Original. Our Pre-Owned items are thoroughly checked for authenticity inside and out along with the overall operation of the movement. We want you to be satisfied and for you to know we have fully authenticated the watches we sell is our #1 priority. All pre-owned watches come with a 1 year in house warranty. Watch Noble is a independent Dealer and is Not affiliated with any of the brands we carry. 



ABOUT US: 



We BUY, SELL and TRADE Swiss watches. If you have a timepiece to sell please contact us via our Seller information. We can also order most Brands of New watches within just a few days or less. Please feel free to inquire. 



We started out in the early 1990's selling quartz watches along with doing battery replacements at the Orange county swap meet in Costa Mesa, CA. Over the years we became Swiss Watch Collectors and then eventually buying and selling full time. Today we Buy, Sell, Trade and Service Swiss Watches. We are a small business that believes in one on one customer service as opposed to a large corporate entity that is too busy to provide that personal touch.  WatchNoble.com





Acceptable Payments are Bank Wire Transfer, Cash, Credit Card, Chrono24 Checkout.  The Listed prices are for Chrono24 Trusted Checkout.  All Fees and charges are included in the total price. For CA residents 7.75% tax will be added.",
126334,Rolex Datejust 126334,U,United States of America,10.26,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/datejust-blue-stick-dial-126334-jubilee--id12593896.htm,https://cdn2.chrono24.com/images/uhren/images_96/s8/12593896_xxl_v1570460245401.jpg,Chrono24,datejust,"
",Automatic,70,31,41,Steel,10,White gold,Sapphire Glass,Black,Steel,Steel,,,,,
114200,Rolex Air King 114200,U,United States of America,4.16,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/air-king--id8252016.htm,https://cdn2.chrono24.com/images/uhren/images_16/s0/8252016_xxl.jpg?v=1543250234729,Chrono24,air king,"
",Automatic,,31,34,Steel,10,Steel,Sapphire Glass,Silver,Steel,Steel,,,,"The Rolex Air-King pays tribute to the pioneers of Flight and the Oysters role in the epic story of aviation. 



This particular Air-KIng is the Model ref; 114200. Made in an all 904L Stainless steel oyster case with solid case back, held on a stainless steel matt finish Oyster bracelet with single folding clasp, fitted with an automatic self-winding chronometer rated movement with central seconds, silver/grey dial with applied orange Arabic numerals and transferred detailing with sunburst effect centre, finished with a sapphire crystal glass.



Item is in original fine condition



Box and full documentation included



Insured shipping within the Continental United States provided.



TEXAS SALES TAX WILL BE ADDED TO PRICE FOR LOCAL CLIENTS.



PLEASE NOTE THAT ALL ADVERTS ARE OF THE ACTUAL TIMEPIECE FOR SALE. WHEN THE WATCH IS PURCHASED THE ADVERT WILL BE REMOVED. THANK YOU.",
228238,Rolex Day-Date 40 228238,U,United States of America,28.3,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/day-date-40mm-18k-yellow-gold--id10448319.htm,https://cdn2.chrono24.com/images/uhren/images_19/s3/10448319_xxl_v1553724273695.jpg,Chrono24,day.date 40,"
",Automatic,70,31,40,Yellow gold,10,Yellow gold,Sapphire Glass,,Yellow gold,Gold,,,,"Included With This Purchase: 



- FedEx Overnight domestic shipping (once payment is verified with Chrono) 

- International Shipping 2-4 days 



*Please note that all International buyers are responsible for custom taxes and/or duties of the receiving country. 

*NY State Residents will be charged NYS Sales Tax. 





Luxury Time NYC INC. is neither affiliated with nor an authorized dealer for the above mentioned brand, watch maker or any other watch brand. We obtain our watches from reputable sources dealing directly with authorized dealers and distributors. The manufacturer's warranty is no longer valid and Luxury Time NYC is the sole warrantor of the watches sold unless purchased unworn. Luxury Time NYC warranties all items sold for two years from the date of the original sale. Warranty only covers manufacturer’s parts which existed in the movement at the time of the sale and shall be void if altered subsequent to the sale. All watches and watch items sold are previously purchased, pre-owned and/or used even if they appear unpolished or new.",
214270,Rolex Explorer 214270,U,United States of America,7.45,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/explorer--id12865203.htm,https://cdn2.chrono24.com/images/uhren/images_03/s2/12865203_xxl_v1573078372389.jpg,Chrono24,explorer,"
",Automatic,48,31,39,Steel,10,Steel,Sapphire Glass,Black,Steel,Steel,,,,"NASHVILLE WATCH, LLC - 615-969-5066











Manufacture: Rolex



Model: Explorer I



Reference: 214270



Case Size: 39mm



Case Material: Stainless Steel



Bracelet Material:  Stainless Steel



Crystal: Sapphire 



Movement: Automatic Calibre 3132



Dial:  Black



Box: Yes



Papers: Yes



Age:  Warranty Card Dated - 10/2019











This Rolex Explorer I is unworn - the AD removed the protective stickers. It was just sold in October of 2019 and is complete with boxes and papers.",
14060M,Rolex Submariner (No Date) 14060M,U,United States of America,7.193,USD,Rolex,Preowned,Box included and papers not included,https://www.chrono24.com/rolex//rolex/mint-2001-rolex-submariner-no-date-14060-m-p-stainless-black-dive-40mm-watch--id12631548.htm,https://cdn2.chrono24.com/images/uhren/images_48/s5/12631548_xxl_v1570806666073.jpg,Chrono24,submariner (no date),"
",Automatic,,,40,Steel,,Steel,Sapphire Glass,Black,Steel,Silver,,,,,
6917,Rolex Lady-Datejust 6917,W,United States of America,3.19,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/ladies-rolex-datejust-pink-diamond-dial-18k-white-gold--stainless-steel-watch--id12851232.htm,https://cdn2.chrono24.com/images/uhren/images_32/s2/12851232_xxl_v1572956541976.jpg,Chrono24,lady.datejust,"
",Automatic,,28,26,Steel,,White gold,Sapphire Glass,Pink,Steel,Steel,,,,,
126300-0011,Rolex Datejust 126300-0011,U,United States of America,7.85,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/datejust-41-mm-stainless-steel-band-black-dial-126300--id11033695.htm,https://cdn2.chrono24.com/images/uhren/images_95/s6/11033695_xxl_v1555971526738.jpg,Chrono24,datejust,"
",Automatic,,,41,Steel,10,,,Black,Steel,,,,,"Included With This Purchase: 



- Original Box 

- Original Warranty Card 

- FedEx Overnight domestic shipping (once payment is verified with Chrono) 

- International Shipping 2-4 days 



*Please note that all International buyers are responsible for custom taxes and/or duties of the receiving country. 

*NY State Residents will be charged NYS Sales Tax. 





Luxury Time NYC INC. is neither affiliated with nor an authorized dealer for the above mentioned brand, watch maker or any other watch brand. We obtain our watches from reputable sources dealing directly with authorized dealers and distributors. The manufacturer's warranty is no longer valid and Luxury Time NYC is the sole warrantor of the watches sold unless purchased unworn. Luxury Time NYC warranties all items sold for two years from the date of the original sale. Warranty only covers manufacturer’s parts which existed in the movement at the time of the sale and shall be void if altered subsequent to the sale. All watches and watch items sold are previously purchased, pre-owned and/or used even if they appear unpolished or new.",
16713,Rolex GMT-Master II 16713,U,United States of America,7.594,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/mint-2002-rolex-gmt-master-ii-16713-y-two-tone-18k-gold-stainless-black-oyster--id12631602.htm,https://cdn2.chrono24.com/images/uhren/images_02/s6/12631602_xxl_v1570807363289.jpg,Chrono24,gmt.master ii,"
",Automatic,,,40,Gold/Steel,,,Sapphire Glass,Black,,Silver,,,,,
116710LN,Rolex GMT-Master II 116710LN,U,United States of America,13.45,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/rolex-gmt-master-ii-116710ln-new-2019--id11229050.htm,https://cdn2.chrono24.com/images/uhren/images_50/s0/11229050_xxl_v1558194504224.jpg,Chrono24,gmt.master ii,"
",Automatic,,31,40,Steel,10,Ceramic,Sapphire Glass,Black,Steel,Steel,,,,"New Rolex GMT-Master II 116710LN 



Warranty Card from USA ROLEX Dated January 2019

Unsized and Unworn Watch



The picture used for this listing is a stock picture provided by the manufacturer. 

Contact us if you require actual photos of this model. 



All watches are in stock and available to ship immediately.

Watch includes the original manufacturer box, serial card, and guarantee manual.

There is no sales tax involved, unless shipping to NJ. 

We offer overnight shipping and insurance for all orders shipping within the Continental US. 



Haniken Jewelers is not an authorized dealer. We do not claim any rights to the patents, copyrights, which belong solely to their developers or assignees and licensees. We obtain our Products authorized dealers and distributors.",
116618LB,Rolex Submariner Date 116618LB,U,United States of America,27.3,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/submariner-date-116618lb-2017-like-new-bp--id12789260.htm,https://cdn2.chrono24.com/images/uhren/images_60/s2/12789260_xxl_v1573455276356.jpg,Chrono24,submariner date,"
",Automatic,50,31,40,Yellow gold,30,Ceramic,Sapphire Glass,Blue,Yellow gold,Gold,,,,Pristine condition ! 2017 with box and papers and handtags and bezel protector full links . Can pass for a brand new one,
116610LV,Rolex Submariner Date 116610LV,U,United States of America,15.9,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/submariner-date-116610lv-hulk-2019--id11407641.htm,https://cdn2.chrono24.com/images/uhren/images_41/s6/11407641_xxl_v1559840605352.jpg,Chrono24,submariner date,"
",Automatic,48,31,40,Steel,30,Ceramic,Sapphire Glass,Green,Steel,Steel,,,,,
126334,Rolex Datejust 126334,U,United States of America,10.05,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/126334-datejust-41-blue-roman-jubilee-stainless-unworn--id11658930.htm,https://cdn2.chrono24.com/images/uhren/images_30/s9/11658930_xxl_v1562947109349.jpg,Chrono24,datejust,"
",Automatic,70,,41,Steel,10,White gold,Sapphire Glass,Blue,Steel,Steel,,,,,
